CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0106-46,08-001,TOTONICAPAN,TOTONICAPAN,ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661038,MIGUEL AJPOP VÁSQUEZ,OTTO GILBERTO AMADO TELLO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0107-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""",3A CALLE 12-08 ZONA 2,77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0201-46,08-023,TOTONICAPAN,TOTONICAPAN,INSTITUTO NACIONAL DE EDUCACION CICLO DIVERSIFICADO,"PARAJE XECOXOM I, ALDEA PAXTOCA",45293003,---------------------------- ----------------------------------,BENJAMIN RAFAEL TZUNUN CUA,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0203-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,NICOLÁS IGNACIO AJUCUM LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0212-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO EL SHADAI,"8A CALLE 5-00, ZONA 4,",59238825,MIGUEL AJPOP VASQUEZ,JESÚS CRISTINA LÓPEZ TZOC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0214-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUÁREZ RODRÍGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0217-46,08-003,TOTONICAPAN,TOTONICAPAN,"INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA, K AK NO JIB AL",ALDEA CHUATROJ,57377254,GLADYS ESPERANZA PACHECO GUTIERREZ,VICTOR FELIPE BAQUIAX PUAC,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0222-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1 TOTONICAPÁN,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUÁREZ RODRÍGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPÁN
08-01-0227-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PREUNIVERSITARIO JERUSALEN,"PARAJE XENAJTAJUYUP, CANTÓN CHIYAX",47047663,MIGUEL AJPOP VÁSQUEZ,JESÚS ENCARNACIÓN PUAC CHAMORRO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0229-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA SEMILLA,"11 AVENIDA 2-40 ZONA 2, TOTONICAPÁN",77667181,MIGUEL AJPOP VÁSQUEZ,KARLA ISELA LÓPEZ BULUX,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0232-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,"9 CALLE ""A"" 08-043 ZONA 3",56769964,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPÁN
08-01-0233-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,"9 CALLE ""A"" 08-043 ZONA 3",56769964,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0237-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,MIGUEL AJPOP VÁSQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0238-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,MIGUEL AJPOP VASQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0241-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,MIGUEL AJPOP VÁSQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0243-46,08-001,TOTONICAPAN,TOTONICAPAN,"INSTITUTO TECNOLÓGICO PARA EL DESARROLLO ""INTED""",6A. CALLE 12-25 ZONA 3,77662044,MIGUEL AJPOP VÁSQUEZ,PAULINA SILVERIA AGUILAR PEREZ DE PUAC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0246-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO EVANGELICO PRE-UNIVERSITARIO TRILINGUE DE OCCIDENTE,CASERIO SEGUNDO PALEMOB ALDEA VÁSQUEZ,59862691,MIGUEL AJPOP VÁSQUEZ,EDWIN DAVID GUTIÉRREZ DE LEÓN,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0247-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO CIENTIFICO Y TECNOLÓGICO EL PEDREGAL,"4TA CALLE LA PEDRERA, ALDEA NIMASAC",77667252,MIGUEL AJPOP VÁSQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0252-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","4TA CALLE, ALDEA NIMASAC",57242098,MIGUEL AJPOP VASQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
08-01-0254-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","4TA CALLE, ALDEA NIMASAC",57242098,MIGUEL AJPOP VASQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPÁN
08-01-0255-46,08-001,TOTONICAPAN,TOTONICAPAN,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","4TA CALLE, ALDEA NIMASAC",57242098,MIGUEL AJPOP VÁSQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0257-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","4TA CALLE, ALDEA NIMASAC",57242098,MIGUEL AJPOP VASQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPÁN
08-01-0259-46,08-024,TOTONICAPAN,TOTONICAPAN,"""COLEGIO EVANGÉLICO PRE-UNIVERSITARIO TRILINGÜE DE OCCIDENTE""","CASERIO SEGUNDO PALEMOB´, ALDEA VÁSQUEZ",59862691,MIGUEL AJPOP VASQUEZ,EDWIN DAVID GUTIÉRREZ DE LEÓN,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN
